news_title,news_link
[지금은 과학] 출생 성비균형 이루는 RNA 찾았다,http://www.inews24.com/view/1374618
"딥노이드, 고용노동부 주최 소프트웨어 인재 양성 대책 마련 간담회 참여",http://www.cstimes.com/news/articleView.html?idxno=463888
"지스트, 출생 성비 균형을 조절하는 RNA발견",http://www.sisamagazine.co.kr/news/articleView.html?idxno=360690
광주인공지능사관학교 최종합격자 발표,http://www.breaknews.com/811615
"서원대, 2021.서원코딩페스티벌 진행",http://www.breaknews.com/811997
Transcript: Ezra Klein Interviews Sam Altman,https://www.nytimes.com/2021/06/11/podcasts/transcript-ezra-klein-interviews-sam-altman.html?partner=naver
조선대 SW중심대학사업단-광주시 북구청과 함께하는“2021 AI·SW 융합 로봇코딩교육” 운영,https://www.wikitree.co.kr/articles/655074
조선대 SW중심대학사업단-광주북구청 '2021 AI/SW 융합 로봇코딩교육' 운영,http://www.veritas-a.com/news/articleView.html?idxno=370168
"""MS 1조 특허료, 반으로 줄여라"" 이재용 특명에 삼성은…",http://www.upinews.kr/newsView/upi202106030112
"동두천시, ‘너의 꿈을 잡(job)아봐!’ 다문화가족 자녀성장 지원 사업 진행",http://www.breaknews.com/810507
iRobot Education upgrades its free coding platform,http://us.aving.net/news/view.php?articleId=1604504&Branch_ID=us&rssid=naver&mn_name=news
인천대학교 ‘매트랩 Cody 챌린지 2021’ 시상식 개최,http://www.breaknews.com/812394
"씨엠에스에듀X청담러닝, 동시 수강 멤버십 ‘씨.아너스’ 여름학기 혜택 제공",https://www.sedaily.com/NewsView/22NKZAP0K9
Transcript: Ezra Klein Interviews Walter Isaacson,https://www.nytimes.com/2021/04/02/podcasts/ezra-klein-podcast-walter-isaacson-transcript.html?partner=naver
"경기도평생교육진흥원, 한겨레중학교 및 새얼학교 대상 교육 진행",http://www.breaknews.com/809734
Covid Killed His Father. Then Came $1 Million in Medical Bills.,https://www.nytimes.com/2021/05/21/upshot/covid-bills-financial-long-haulers.html?partner=naver
"딥노이드, 고용노동부 주최 소프트웨어 인재 양성 대책 마련 간담회 참여",http://www.cstimes.com/news/articleView.html?idxno=463888
4차 산업 혁명 핵심 기술 ABCD(AI-Big Data-Coding-Design) 개최,http://www.veritas-a.com/news/articleView.html?idxno=363263
"미담장학회, 'UNIST, 아람코코리아'와 교육격차 해소 위한 협약식 체결",https://news.joins.com/article/olink/23640867
"KB국민은행, 올 상반기 200여명 규모 행원 채용 실시",http://www.breaknews.com/812123
"For Hafsah Faizal, Coding Was a Gateway to Writing",https://www.nytimes.com/2021/02/04/books/review/hafsah-faizal-we-free-the-stars.html?partner=naver
[NEWS IN FOCUS] The world gets a dose of virtual reality as metaverses loom,https://koreajoongangdaily.joins.com/2021/03/22/business/tech/metaverse/20210322191306642.html
Virtual coding camp keeps high schoolers engaged as classrooms go remote,https://koreajoongangdaily.joins.com/2020/12/28/national/socialAffairs/coding-in-korea-high-school-students-Data-Science-Ambassadors-Computer-Science-Program/20201228163900570.html
"성남시, 신중년을 위한 평생교육 프로그램 마련",http://www.breaknews.com/811648
청년 일자리 창출 약속지킨 삼성전자..누적 취업률 68% 달성,http://www.breaknews.com/812596
"인공지능 맞춤형 디지털 교육 플랫폼 전문기업 (주)시공테크, 광주 AI생태계 조성 적극 협력",http://www.breaknews.com/798178
"대학가, 재학생 디지털 역량 강화 위해 ‘코딩 자격증’ 도입",http://edu.donga.com/?p=article&ps=view&at_no=20210430100059888342
"[CES 2021 GCA] GeniRobot plans to unveil GeniBot, its all-in-one educational coding robot... Registered 3 patents and ow",http://us.aving.net/news/view.php?articleId=1588905&Branch_ID=us&rssid=naver&mn_name=news
"전남교육청, 산·학 연계 찾아가는 SW코딩 교육 실시",http://www.breaknews.com/797097
"네이버 쇼핑라이브, 동영상 기술 강화해 사업자와 사용자 편익 높여",http://theviewers.co.kr/View.aspx?No=1549238
조선대-전라남도교육청 '2021 인공지능(AI) 미래인재양성 프로젝트' 운영,http://www.kyosu.net/news/articleView.html?idxno=69166
[Best Brand] GeniRobot’s coding education robot goes global,http://www.koreaherald.com/view.php?ud=20201230000836
LG CNS offers AI-powered language programs to Seoul students,https://www.koreatimes.co.kr/www/tech/2021/06/133_310152.html?na
"올해 적정성 평가, ‘치매 평가’ 신규 도입 등 환자중심",http://www.bosa.co.kr/news/articleView.html?idxno=2142471
Aramco Korea Extends Coding Education Program for a Second Year,http://www.businesskorea.co.kr/news/articleView.html?idxno=65866
"네이버 쇼핑라이브 1등 비결, ‘라이브 기술’ 투자에 답이 있다",http://www.segye.com/content/html/2021/04/09/20210409510831.html?OutUrl=naver
The End of the Wonder Rug,https://www.nytimes.com/2021/06/05/style/oriental-rugs-carpet-karastan-where-made.html?partner=naver
"제주미래교육연구원, 'IoT+Coding=Robot' 코딩융합교육 운영",http://www.jemin.com/news/articleView.html?idxno=710433
"한전KDN, 사회적가치 활동의 선순환 고리 실천 결실맺어",http://www.breaknews.com/794369
"한국교통대 코딩아카데미센터, ICT 이노베이션스퀘어 확산사업 교육생 모집",http://www.breaknews.com/795144
"[신년사]박 준 훈 한국교통대 총장,'변화만이 유일한 상수(常數)'",http://www.breaknews.com/777478
[테마캠퍼스/ 동강대학교] 'P-Tech' 통해 지자체·산업체·대학 상생… 등록금 전액 무료,https://news.unn.net/news/articleView.html?idxno=510008
"생거진천혁신도시도서관, 문체부 공모사업 2건 선정",http://www.breaknews.com/799020
“코딩 능력 중요하다는데” 국내 대표 코딩 능력 평가 시험은?,https://www.sedaily.com/NewsView/22ID2UL2ME
"구리시, ‘2021년 찾아가는 진로직업체험캠프’ 큰 호응",http://www.breaknews.com/811718
사회의 디지털화와 로우코드,http://www.breaknews.com/789645
"동두천시 드림스타트, 로봇코딩 교육프로그램 실시",http://www.breaknews.com/800168
광주 인공지능사관학교 2기 교육생 모집,http://www.breaknews.com/792031
4월 주요 대기업·공공기관 상반기 신입 채용 소식,http://www.breaknews.com/798149
"조선대, 광주 북구와 ‘2020 AI·SW 융합 로봇코딩교육’ 성료",https://view.asiae.co.kr/article/2020122210191329868
"네이버 쇼핑라이브, 동영상 기술 강화해 사업자와 사용자 편익 높인다",http://www.gukjenews.com/news/articleView.html?idxno=2196103
Texas Instruments challenges students to find ways to make healthier in new coding contest,https://www.itbiznews.com/news/articleView.html?idxno=31199
"[고든 정의 TECH+] 구글, 자체 개발 동영상 인코딩 프로세서로 인텔 의존 낮춘다",https://nownews.seoul.co.kr/news/newsView.php?id=20210608601002&wlog_tag3=naver
데이터 관리 효율 높이는 4가지 최적화 방안은?,http://www.nextdaily.co.kr/news/article.html?id=20210226800017
"한전KDN, SW교육 선순환모델 창출로 교육기부 대상 수상",http://www.breaknews.com/778247
"취준생, 겨울방학 동안 준비하면 좋은 IT 자격증",http://edu.donga.com/?p=article&ps=view&at_no=20210121112812428198
Women's role in technology discussed in Finnish embassy webinar,https://www.koreatimes.co.kr/www/nation/2021/05/176_308115.html?na
"네이버, 베트남 우정통신대학과 AI 연구…현지 두 번째 연구 거점",http://www.edaily.co.kr/news/newspath.asp?newsid=03463686629053184
설 연휴 채용 주목해야 할 기업 어디?,http://www.breaknews.com/785980
"금융계, IT 개발자 채용 바람..원서접수 시작 어디?",http://www.breaknews.com/791354
